text	label
气死姐姐了快二是阵亡了吗尼玛一个半小时过去了也没上车	愤怒
妞妞啊今天又承办了一个发文登记文号是嘻么么哒晚安哟	积极
这里还值得注意另一个事实就是张鞠存原有一个东溪草堂为其读书处	无情绪
这在前华约国家尤其是东德使用的首次联合演习期间被一些北约组织的飞行员所证实	无情绪
上了	惊奇
每天都以紧张的心情工作真的是太累太不放松了想要爆发一下	愤怒
语文军数学军英语军物理军政治军历史军生物军地理军八科联军侵犯我班我班战败被迫签订家长会条约赔偿给老师总结字学校为使馆界派各科老师看守不准我班随意出去割美术课体育课音乐课活动课给班主任开放监控设备下课时间由联军商定同学们该起义	愤怒
我不是一个优秀的演员不能微笑着旁观你们幸福	悲伤
当你变优秀时你想要的都会来找你	积极
累了一天会宿舍听下我搞基新歌在看看我段宜恩美图心都被治愈了	积极
劳资也能遇到这种人滚你妈逼的狗都不如艹	愤怒
四年又是四年中国球迷有几个四年可以任你挥霍我去年买了个表	愤怒
前几天爸爸带回来的大鱼斤	积极
可怕的噩梦不知道我描述的清不在做梦梦里的我也在睡梦中做梦的我梦里还是在做梦起先我第一次醒来以为自己醒了但其实是在另一个梦里于是我开始怕了我用尽全力挣扎让自己从一个又一个噩梦里醒来发觉一直没有尽头因为它们都有一个共同特点那就都是黑夜而我知道真正醒来该是白天	恐惧
跟一群维族在一起喝酒醉的一塌糊涂	无情绪
尼玛币啊我暴躁了这个事情之前看过一个新闻是一个孕妇也是差不多的原因因为想让她男人得到满足祸害其他小姑娘最后给那女生弄死了真妈的不是好人不怕遭天谴吗	愤怒
昨晚又梦见你骑着电瓶车载你很甜吃中饭偶遇你不知道该不该挽回不挽回会不会后悔以后一起去食堂吃饭好不好	悲伤
事实我也害怕也有恐惧担心因为见过太多婚姻中的家庭那种委屈看着都怕了	恐惧
那些爱造谣的长舌妇们我结婚生娃你怎么知道的我都不知道	愤怒
外日看日剧一不小心看到这个点了真的好好看啊三观好正啊本来从小就向往律师这个职业的我真的好喜欢这个剧啊而且女主角是啊啊啊啊萌哭我好想在她犯傻的时候摸摸她的头	积极
韩国漫画妻子的记忆结尾让人流泪	悲伤
太忙的一天体育课选了个跆拳道韧带拉的宝宝快炸了英语听说老师全程英语快递一下来五个宝宝快累死	愤怒
能帮助麦当娜把她心中的电影拍摄出来其实也是件很好的事情	积极
